                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     13,                 1.0613,                 1.9505,                 1.1813,                0.00387,                      1,                0.61212,                 0.3725,                   1.25,                 2.6565,                 1.1589,               0.062572,              0.0035723,              0.0035723
                     14,                0.85221,                 1.8806,                 1.0105,                0.00402,                      1,                0.66379,                0.42413,                  1.205,                 2.6816,                 1.1039,                0.05979,              0.0037902,              0.0037902
                     15,                 1.0711,                 1.8198,                 1.1521,                0.00383,                      1,                0.60728,                0.39447,                 1.0563,                 2.5747,                 1.0611,               0.057002,              0.0040021,              0.0040021
                     16,                 1.0223,                 1.8451,                 1.1609,                0.00373,                      1,                0.68401,                0.43116,                 1.0304,                 2.5968,                 1.0667,               0.054208,               0.004208,               0.004208
                     17,                0.95509,                 1.7332,                 1.0909,                0.94387,                 0.1365,                 0.6882,                  0.392,                 1.2068,                 2.5741,                 1.1332,               0.051408,               0.004408,               0.004408
                     18,                 1.1001,                 1.8145,                 1.2509,                0.36721,                0.25892,                0.64793,                 0.3652,                 1.0645,                 2.6282,                 1.1491,               0.048602,              0.0046021,              0.0046021
                     19,                 1.0714,                 1.5828,                 1.1584,                      1,                0.09611,                0.64383,                0.36669,                 1.2075,                 2.5535,                 1.1487,                0.04579,              0.0047902,              0.0047902
                     20,                 1.0209,                 1.6835,                 1.1457,                      1,                0.15893,                0.64105,                0.38069,                 1.0608,                 2.4887,                 1.1245,               0.042972,              0.0049724,              0.0049724
                     21,                 1.0012,                 1.5409,                 1.0581,                      1,                 0.2578,                0.75129,                0.42322,                 1.3686,                  2.345,                 1.2515,               0.040149,              0.0051487,              0.0051487
                     22,                0.97501,                 1.3604,                 1.0809,                      1,                0.30906,                0.68754,                0.42684,                 1.2017,                  2.294,                 1.1934,               0.037319,               0.005319,               0.005319
                     23,                0.99235,                 1.3499,                 1.1214,                  0.976,                0.34208,                0.74786,                0.43546,                  1.317,                 2.2463,                 1.2563,               0.034483,              0.0054833,              0.0054833
                     24,                0.89336,                 1.3653,                 1.0659,                0.97736,                0.37931,                0.77419,                0.48597,                  1.114,                 2.2403,                 1.1583,               0.031642,              0.0056418,              0.0056418
                     25,                 1.1344,                 1.5427,                 1.0997,                0.85255,                0.48276,                0.86035,                0.50131,                 1.4187,                 2.1265,                 1.3082,               0.028794,              0.0057942,              0.0057942
                     26,                0.92013,                  1.302,                 1.0184,                0.84778,                0.53311,                0.77376,                0.50566,                 1.1893,                  1.995,                 1.2077,               0.025941,              0.0059408,              0.0059408
                     27,                0.88909,                 1.3109,                 1.0735,                 0.7133,                0.73659,                0.85319,                0.52492,                 1.3447,                 1.9778,                 1.4426,               0.023081,              0.0060814,              0.0060814
                     28,                 1.0053,                 1.4401,                 1.1305,                 0.7133,                0.73659,                0.85319,                0.52492,                 1.3447,                 1.9778,                 1.4426,               0.020216,              0.0062161,              0.0062161
                     29,                0.93862,                 1.3182,                 1.1133,                0.79337,                 0.5551,                0.78472,                0.50303,                 1.2915,                 1.8997,                 1.2786,               0.017345,              0.0063448,              0.0063448
                     30,                0.89388,                 1.3781,                 1.0619,                0.74435,                0.68898,                0.80844,                0.51889,                  1.202,                 2.0307,                 1.3683,               0.014468,              0.0064676,              0.0064676
                     31,                0.88786,                 1.3467,                  1.156,                0.76159,                0.60965,                0.84966,                0.49607,                 1.3426,                 1.9279,                 1.2309,               0.011584,              0.0065844,              0.0065844
                     32,                0.84097,                 1.3141,                 1.0044,                0.76159,                0.60965,                0.84966,                0.49607,                 1.3426,                 1.9279,                 1.2309,              0.0086954,              0.0066954,              0.0066954
                     33,                0.85856,                 1.3624,                  1.111,                0.81883,                0.84599,                0.87334,                0.48942,                 1.3247,                 1.8221,                 1.3617,               0.006733,               0.006733,               0.006733
                     34,                0.89924,                 1.2078,                 1.0339,                0.69615,                0.68872,                0.78325,                0.45816,                 1.3662,                 1.8158,                 1.2585,               0.006733,               0.006733,               0.006733
                     35,                0.89114,                 1.2568,                 1.0065,                0.89826,                0.88839,                0.94421,                 0.5276,                 1.4833,                 1.4705,                 1.5864,               0.006634,               0.006634,               0.006634
                     36,                 1.1705,                 1.6502,                 1.1795,                0.89826,                0.88839,                0.94421,                 0.5276,                 1.4833,                 1.4705,                 1.5864,               0.006535,               0.006535,               0.006535
                     37,                0.94765,                 1.4216,                 1.0009,                0.77013,                0.60916,                0.68068,                0.44921,                 1.1828,                 1.9156,                 1.1405,               0.006436,               0.006436,               0.006436
                     38,                0.84676,                 1.3712,                 1.0095,                0.74158,                0.95917,                0.90286,                0.56876,                 1.3542,                 1.5087,                 1.2943,               0.006337,               0.006337,               0.006337
                     39,                 1.1099,                 1.5424,                 1.1829,                0.73356,                0.84643,                0.90344,                0.60809,                 1.1239,                 1.6777,                 1.1503,               0.006238,               0.006238,               0.006238
                     40,                0.94468,                 1.1522,                 1.0681,                0.73356,                0.84643,                0.90344,                0.60809,                 1.1239,                 1.6777,                 1.1503,               0.006139,               0.006139,               0.006139
                     41,                0.87291,                 1.2581,                 1.0128,                0.67077,                0.76949,                0.81552,                0.46358,                    1.4,                 1.8909,                 1.4833,                0.00604,                0.00604,                0.00604
                     42,                0.91957,                 1.2665,                 1.0997,                0.66459,                0.82651,                0.86266,                0.54761,                 1.2596,                 1.6936,                  1.286,               0.005941,               0.005941,               0.005941
                     43,                0.91753,                 1.2099,                 1.0746,                0.61492,                0.74138,                0.78484,                0.45774,                 1.3948,                  1.976,                 1.4708,               0.005842,               0.005842,               0.005842
                     44,                0.79957,                 1.2542,                 1.0101,                0.61492,                0.74138,                0.78484,                0.45774,                 1.3948,                  1.976,                 1.4708,               0.005743,               0.005743,               0.005743
                     45,                0.79771,                 1.0912,                 1.0103,                0.77045,                 0.4928,                0.56228,                0.27192,                 1.4053,                 2.4716,                 1.5069,               0.005644,               0.005644,               0.005644
                     46,                0.84599,                 1.2179,                 1.0256,                0.68746,                0.79882,                0.80973,                0.45193,                 1.4127,                 1.9275,                 1.3958,               0.005545,               0.005545,               0.005545
                     47,                0.79748,                 1.0959,                 0.9746,                0.74248,                0.84165,                0.88675,                0.50346,                 1.4816,                 1.5818,                 1.4189,               0.005446,               0.005446,               0.005446
                     48,                 0.8214,                 1.1348,                 1.0258,                0.74248,                0.84165,                0.88675,                0.50346,                 1.4816,                 1.5818,                 1.4189,               0.005347,               0.005347,               0.005347
                     49,                0.88259,                 1.3658,                 1.0253,                0.72343,                0.80812,                0.87134,                0.47156,                 1.6093,                 1.7105,                 1.5614,               0.005248,               0.005248,               0.005248
                     50,                0.87033,                 1.1116,                0.99931,                0.72083,                  0.622,                0.65172,                0.29022,                  1.633,                 2.5256,                 1.7095,               0.005149,               0.005149,               0.005149
                     51,                0.82143,                 1.0905,                 1.0325,                0.62133,                0.62069,                0.60682,                0.27938,                 1.6577,                 2.2907,                 1.7558,                0.00505,                0.00505,                0.00505
                     52,                0.92634,                 1.1247,                 1.1199,                0.62133,                0.62069,                0.60682,                0.27938,                 1.6577,                 2.2907,                 1.7558,               0.004951,               0.004951,               0.004951
                     53,                0.83835,                 1.1548,                 1.0393,                0.85475,                0.73795,                0.83065,                0.50421,                 1.3445,                 1.5487,                 1.4906,               0.004852,               0.004852,               0.004852
                     54,                0.86934,                 1.1376,                 1.0565,                0.73421,                0.62277,                 0.6862,                0.39108,                 1.5004,                 2.0175,                 1.6677,               0.004753,               0.004753,               0.004753
                     55,                0.76441,                 1.0019,                0.98115,                0.54957,                0.63543,                0.53622,                0.31242,                 1.4722,                  2.303,                 1.6654,               0.004654,               0.004654,               0.004654
                     56,                0.78428,                  1.075,                  1.025,                0.54957,                0.63543,                0.53622,                0.31242,                 1.4722,                  2.303,                 1.6654,               0.004555,               0.004555,               0.004555
                     57,                 0.8336,                 1.0337,                 1.0286,                0.80367,                0.74138,                0.77258,                0.45265,                 1.5007,                 1.7402,                  1.649,               0.004456,               0.004456,               0.004456
                     58,                0.77216,                0.98389,                0.93427,                0.83721,                0.81034,                 0.8221,                 0.4717,                 1.5217,                 1.6825,                  1.686,               0.004357,               0.004357,               0.004357
                     59,                0.80469,                 1.1161,                 1.0007,                0.86112,                0.78721,                0.89316,                0.54763,                 1.4666,                 1.4735,                 1.6352,               0.004258,               0.004258,               0.004258
                     60,                0.75161,                 0.9136,                0.98742,                0.86112,                0.78721,                0.89316,                0.54763,                 1.4666,                 1.4735,                 1.6352,               0.004159,               0.004159,               0.004159
                     61,                0.82884,                  1.083,                0.96109,                0.85441,                 0.6392,                0.84354,                0.52179,                 1.4561,                 1.6463,                 1.5988,                0.00406,                0.00406,                0.00406
                     62,                0.80752,                 1.1409,                 1.0258,                0.84667,                0.83742,                0.89282,                0.49166,                 1.6042,                 1.4472,                   1.77,               0.003961,               0.003961,               0.003961
                     63,                0.68485,                0.96033,                0.94498,                0.79885,                0.74473,                0.83538,                0.47887,                 1.5929,                 1.7045,                 1.7623,               0.003862,               0.003862,               0.003862
                     64,                0.73351,                 1.0134,                 1.0107,                0.79885,                0.74473,                0.83538,                0.47887,                 1.5929,                 1.7045,                 1.7623,               0.003763,               0.003763,               0.003763
                     65,                 0.7255,                 1.0189,                0.98097,                 0.7168,                0.81034,                 0.7558,                 0.4556,                 1.5006,                 1.6895,                 1.6762,               0.003664,               0.003664,               0.003664
                     66,                0.78864,                0.94912,                 1.0193,                0.74765,                0.79191,                0.75959,                0.42641,                 1.5653,                 1.6528,                 1.7322,               0.003565,               0.003565,               0.003565
                     67,                 0.6953,                0.88447,                 0.9637,                0.65701,                0.76474,                0.76048,                0.47865,                 1.4787,                 1.6038,                 1.6347,               0.003466,               0.003466,               0.003466
                     68,                0.66752,                 1.0941,                 1.0008,                0.65701,                0.76474,                0.76048,                0.47865,                 1.4787,                 1.6038,                 1.6347,               0.003367,               0.003367,               0.003367
                     69,                0.71083,                 1.0245,                0.96694,                0.62836,                0.77279,                0.69329,                0.42232,                 1.4777,                 1.7477,                 1.6048,               0.003268,               0.003268,               0.003268
                     70,                0.72904,                0.90716,                0.99435,                0.67769,                0.77586,                0.70932,                0.43157,                 1.4687,                 1.6899,                 1.5607,               0.003169,               0.003169,               0.003169
                     71,                0.70978,                0.89036,                 0.9728,                0.62281,                0.75862,                0.70126,                0.44098,                 1.3808,                 1.7303,                  1.449,                0.00307,                0.00307,                0.00307
                     72,                0.74817,                 1.0795,                  1.024,                0.62281,                0.75862,                0.70126,                0.44098,                 1.3808,                 1.7303,                  1.449,               0.002971,               0.002971,               0.002971
                     73,                0.78625,                 1.0616,                 1.0297,                0.64912,                0.74138,                 0.6653,                0.42157,                 1.3961,                 1.7946,                  1.433,               0.002872,               0.002872,               0.002872
                     74,                0.76157,                 1.0247,                0.99102,                 0.6051,                0.75862,                0.68214,                0.42405,                 1.4065,                 1.6842,                 1.4374,               0.002773,               0.002773,               0.002773
                     75,                0.67971,                0.99535,                0.94104,                0.72308,                0.86587,                0.81825,                0.50088,                 1.3555,                 1.4634,                 1.4138,               0.002674,               0.002674,               0.002674
                     76,                0.61667,                0.88243,                0.89768,                0.72308,                0.86587,                0.81825,                0.50088,                 1.3555,                 1.4634,                 1.4138,               0.002575,               0.002575,               0.002575
                     77,                0.74171,                 1.0281,                0.97799,                0.80705,                0.80268,                0.84536,                0.52714,                 1.3046,                 1.3848,                 1.3896,               0.002476,               0.002476,               0.002476
                     78,                0.68678,                0.91295,                0.95558,                 0.7591,                0.86753,                0.83924,                 0.5314,                 1.2947,                 1.4035,                 1.3933,               0.002377,               0.002377,               0.002377
                     79,                0.68027,                0.93088,                0.96185,                0.67708,                 0.7931,                 0.7711,                0.46697,                  1.396,                 1.5817,                 1.4954,               0.002278,               0.002278,               0.002278
                     80,                0.62691,                0.88837,                 0.8707,                0.67708,                 0.7931,                 0.7711,                0.46697,                  1.396,                 1.5817,                 1.4954,               0.002179,               0.002179,               0.002179
                     81,                0.82808,                 1.3266,                 1.0763,                0.65156,                0.74138,                0.72981,                0.44014,                 1.3918,                 1.7788,                 1.5129,                0.00208,                0.00208,                0.00208
                     82,                0.66777,                 1.0195,                0.98204,                0.68232,                0.84483,                0.78944,                0.47829,                 1.3945,                 1.5753,                 1.5113,               0.001981,               0.001981,               0.001981
                     83,                0.61555,                0.86226,                0.94219,                0.75369,                0.83569,                    0.8,                0.50383,                 1.3388,                 1.5389,                 1.4576,               0.001882,               0.001882,               0.001882
                     84,                0.68378,                0.91099,                0.98295,                0.75369,                0.83569,                    0.8,                0.50383,                 1.3388,                 1.5389,                 1.4576,               0.001783,               0.001783,               0.001783
                     85,                0.56001,                0.84334,                0.91713,                0.77996,                0.87931,                0.84624,                0.55125,                 1.3248,                 1.4108,                 1.4382,               0.001684,               0.001684,               0.001684
                     86,                0.66472,                0.91517,                 0.9622,                0.78529,                0.87394,                0.87617,                  0.567,                  1.317,                 1.3191,                 1.4297,               0.001585,               0.001585,               0.001585
                     87,                0.64031,                0.88167,                0.92403,                0.79234,                0.88631,                0.88354,                0.56511,                 1.3226,                 1.3016,                 1.4275,               0.001486,               0.001486,               0.001486
                     88,                0.68449,                  1.061,                0.95487,                0.79234,                0.88631,                0.88354,                0.56511,                 1.3226,                 1.3016,                 1.4275,               0.001387,               0.001387,               0.001387
                     89,                0.60623,                0.99171,                0.94143,                0.85132,                  0.841,                0.89108,                0.56194,                 1.3434,                 1.2862,                 1.4427,               0.001288,               0.001288,               0.001288
                     90,                0.63396,                0.84618,                0.90355,                0.83625,                0.82375,                0.88803,                0.55621,                 1.3583,                 1.2825,                 1.4481,               0.001189,               0.001189,               0.001189
