                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6601,                 4.1244,                 1.7033,                0.00403,                0.98276,                0.01421,                0.00486,                 1.5796,                 3.7049,                 1.7409,                 0.0982,                 0.0002,                 0.0002
                      1,                 1.4834,                 3.8574,                 1.6116,                0.00398,                      1,                0.01629,                0.00546,                  1.535,                 3.7117,                 1.7168,               0.095495,             0.00049505,             0.00049505
                      2,                 1.4602,                 3.8743,                 1.5973,                0.00314,                0.97222,                0.04227,                0.01431,                 1.3675,                 3.5585,                 1.5077,               0.092784,             0.00078416,             0.00078416
                      3,                 1.1843,                 3.6543,                 1.3693,                0.00352,                      1,                0.08012,                0.03354,                 1.4601,                 3.3936,                 1.3655,               0.090067,              0.0010673,              0.0010673
                      4,                 1.2913,                 3.5076,                 1.3644,                0.00371,                      1,                0.12396,                 0.0477,                 1.5068,                 3.3586,                  1.349,               0.087345,              0.0013446,              0.0013446
                      5,                 1.2145,                 3.3371,                 1.3106,                 0.0038,                      1,                 0.2556,                0.09869,                 1.5092,                  3.345,                 1.3541,               0.084616,              0.0016158,              0.0016158
                      6,                 1.1045,                 3.1771,                 1.2246,                0.00374,                      1,                0.42546,                0.19478,                 1.4406,                 3.2683,                 1.2954,               0.081881,              0.0018812,              0.0018812
                      7,                 1.1005,                 3.2199,                 1.2298,                0.00384,                      1,                0.54385,                0.27262,                 1.3905,                 3.2698,                  1.284,               0.079141,              0.0021406,              0.0021406
                      8,                0.99281,                 2.8681,                 1.1558,                 0.0038,                      1,                 0.6613,                0.34394,                  1.335,                 3.1962,                  1.242,               0.076394,              0.0023941,              0.0023941
                      9,                 1.0307,                 2.7085,                 1.1564,                0.00383,                      1,                0.63409,                0.34927,                 1.2759,                 3.0932,                 1.1927,               0.073642,              0.0026416,              0.0026416
                     10,                0.95962,                 2.3382,                 1.1477,                0.00372,                      1,                0.60393,                0.35403,                 1.2071,                 2.8452,                 1.1804,               0.070883,              0.0028832,              0.0028832
                     11,                 1.0561,                 2.2112,                 1.1421,                0.00386,                      1,                0.62322,                0.35974,                 1.2343,                  2.804,                 1.1777,               0.068119,              0.0031189,              0.0031189
                     12,                 1.1002,                 2.0003,                 1.1656,                 0.0067,                      1,                0.60181,                0.34953,                 1.2447,                 2.6905,                 1.1762,               0.065349,              0.0033486,              0.0033486
