                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0037,                  1.099,                 1.1224,                0.66133,                0.92061,                0.97285,                0.70004,                 1.0419,                  1.292,                 1.1345,               0.006733,               0.006733,               0.006733
                     35,                0.90823,                 1.0234,                 1.0825,                0.91248,                0.91594,                0.96773,                 0.6531,                 1.1412,                 1.2103,                  1.144,               0.006634,               0.006634,               0.006634
                     36,                 1.0264,                 1.1288,                 1.1242,                0.89307,                0.88462,                0.98167,                0.72174,                 1.0378,                 1.1409,                 1.1468,               0.006535,               0.006535,               0.006535
                     37,                0.86374,                 1.0313,                 1.0545,                0.98014,                      1,                  0.995,                0.76333,                 1.0138,                 1.0602,                 1.0948,               0.006436,               0.006436,               0.006436
                     38,                0.94055,                 1.1051,                  1.128,                0.94305,                0.88462,                0.97478,                0.70998,                 1.1554,                 1.1546,                 1.1912,               0.006337,               0.006337,               0.006337
                     39,                0.86046,                0.96027,                 1.0402,                0.89277,                0.98755,                  0.995,                0.73938,                 1.0924,                 1.0284,                 1.1462,               0.006238,               0.006238,               0.006238
                     40,                0.91878,                0.97858,                 1.0425,                0.94282,                 0.9413,                  0.995,                0.72494,                 1.1697,                 1.0472,                  1.204,               0.006139,               0.006139,               0.006139
                     41,                0.91069,                0.95365,                 1.0626,                0.92637,                      1,                0.98964,                0.73596,                  1.067,                0.96353,                 1.1688,                0.00604,                0.00604,                0.00604
                     42,                0.85054,                0.97878,                 1.0393,                0.93765,                      1,                  0.995,                0.70103,                 1.1672,                 1.0506,                 1.2305,               0.005941,               0.005941,               0.005941
                     43,                0.91948,                0.99134,                 1.0741,                 0.9884,                0.96154,                 0.9925,                0.74149,                 1.0316,                0.94148,                 1.1299,               0.005842,               0.005842,               0.005842
                     44,                0.90047,                0.92835,                 1.0827,                0.99117,                      1,                  0.995,                0.76103,                  1.098,                0.91586,                 1.1766,               0.005743,               0.005743,               0.005743
                     45,                0.91002,                0.99467,                 1.0698,                0.99526,                0.99088,                  0.995,                0.75767,                 1.0052,                0.91007,                 1.1343,               0.005644,               0.005644,               0.005644
                     46,                0.84673,                0.90374,                 1.0762,                0.94223,                0.92275,                0.98964,                0.70092,                 1.1683,                 1.0049,                 1.2376,               0.005545,               0.005545,               0.005545
                     47,                0.90579,                0.96848,                  1.078,                      1,                0.88564,                  0.995,                0.73036,                  1.061,                 1.0007,                 1.1531,               0.005446,               0.005446,               0.005446
                     48,                0.84159,                0.96039,                 1.0604,                0.97366,                0.99644,                  0.995,                 0.7238,                 1.1016,                0.93314,                 1.1638,               0.005347,               0.005347,               0.005347
                     49,                0.76772,                0.92705,                 1.0008,                0.84599,                0.70779,                0.87485,                0.66131,                 1.0899,                  1.313,                 1.1656,               0.005248,               0.005248,               0.005248
